id	terrestrial_date	sol	ls	month	min_temp	pressure
1652	2017-06-21	1733	22	1	-77.0	859.0
1655	2017-06-22	1734	23	1	-78.0	859.0
1653	2017-06-23	1735	23	1	-78.0	861.0
1654	2017-06-24	1736	23	1	-77.0	860.0
1656	2017-06-25	1737	24	1	-78.0	861.0
1657	2017-06-26	1738	24	1	-78.0	861.0
1658	2017-06-27	1739	25	1	-77.0	861.0
1662	2017-06-28	1740	25	1	-78.0	861.0
1659	2017-06-29	1741	26	1	-78.0	863.0
1661	2017-06-30	1742	26	1	-77.0	865.0
1660	2017-07-02	1743	27	1	-78.0	863.0
1663	2017-07-03	1744	27	1	-78.0	863.0
1664	2017-07-04	1745	28	1	-78.0	865.0
1665	2017-07-05	1746	28	1	-76.0	866.0
1666	2017-07-06	1747	29	1	-79.0	866.0
1668	2017-07-07	1748	29	1	-79.0	867.0
1667	2017-07-08	1749	30	2	-76.0	867.0
1669	2017-07-09	1750	30	2	-77.0	867.0
1670	2017-07-10	1751	31	2	-78.0	867.0
1671	2017-07-11	1752	31	2	-80.0	867.0
1672	2017-07-12	1753	32	2	-76.0	868.0
1673	2017-07-13	1754	32	2	-78.0	870.0
1674	2017-07-14	1755	32	2	-77.0	870.0
1675	2017-07-15	1756	33	2	-78.0	871.0
1676	2017-07-16	1757	33	2	-78.0	871.0
1677	2017-07-17	1758	34	2	-78.0	871.0
1678	2017-07-18	1759	34	2	-77.0	871.0
1679	2017-07-19	1760	35	2	-78.0	872.0
1684	2017-07-20	1761	35	2	-77.0	872.0
1687	2017-07-21	1762	36	2	-77.0	872.0
1680	2017-07-22	1763	36	2	-78.0	873.0
1682	2017-07-23	1764	37	2	-79.0	872.0
1690	2017-07-24	1765	37	2	-77.0	873.0
1688	2017-07-25	1766	38	2	-79.0	873.0
1691	2017-07-26	1767	38	2	-77.0	874.0
1683	2017-07-27	1768	39	2	-78.0	875.0
1689	2017-07-28	1769	39	2	-76.0	875.0
1686	2017-07-29	1770	39	2	-79.0	875.0
1692	2017-07-30	1771	40	2	-79.0	876.0
1681	2017-07-31	1772	40	2	-78.0	876.0
1685	2017-08-01	1773	41	2	-78.0	876.0
1693	2017-08-02	1774	41	2	-79.0	877.0
1694	2017-08-03	1775	42	2	-80.0	877.0
1696	2017-08-04	1776	42	2	-79.0	877.0
1695	2017-08-05	1777	43	2	-79.0	877.0
1697	2017-08-06	1778	43	2	-81.0	877.0
1698	2017-08-07	1779	44	2	-78.0	878.0
1699	2017-08-09	1780	44	2	-77.0	879.0
1700	2017-08-10	1781	45	2	-78.0	879.0
1701	2017-08-11	1782	45	2	-78.0	878.0
1703	2017-08-12	1783	45	2	-79.0	879.0
1702	2017-08-13	1784	46	2	-80.0	883.0
1704	2017-08-14	1785	46	2	-77.0	881.0
1705	2017-08-16	1787	47	2	-79.0	881.0
1706	2017-08-17	1788	48	2	-79.0	881.0
1708	2017-08-18	1789	48	2	-79.0	881.0
1707	2017-08-19	1790	49	2	-81.0	882.0
1709	2017-08-20	1791	49	2	-79.0	882.0
1710	2017-08-21	1792	50	2	-80.0	883.0
1711	2017-08-22	1793	50	2	-80.0	883.0
1712	2017-08-23	1794	50	2	-80.0	883.0
1714	2017-08-24	1795	51	2	-81.0	882.0
1715	2017-08-25	1796	51	2	-80.0	883.0
1713	2017-08-26	1797	52	2	-79.0	884.0
1716	2017-08-27	1798	52	2	-79.0	883.0
1717	2017-08-28	1799	53	2	-78.0	883.0
1718	2017-08-29	1800	53	2	-80.0	883.0
1719	2017-08-30	1801	54	2	-80.0	882.0
1722	2017-08-31	1802	54	2	-79.0	882.0
1723	2017-09-01	1803	55	2	-78.0	882.0
1720	2017-09-02	1804	55	2	-78.0	883.0
1721	2017-09-03	1805	55	2	-78.0	883.0
1724	2017-09-04	1806	56	2	-80.0	884.0
1725	2017-09-05	1807	56	2	-78.0	884.0
1726	2017-09-06	1808	57	2	-79.0	884.0
1728	2017-09-07	1809	57	2	-80.0	884.0
1729	2017-09-08	1810	58	2	-78.0	883.0
1727	2017-09-09	1811	58	2	-79.0	882.0
1730	2017-09-10	1812	59	2	-79.0	882.0
1731	2017-09-11	1813	59	2	-80.0	881.0
1732	2017-09-12	1814	59	2	-80.0	881.0
1733	2017-09-13	1815	60	3	-81.0	881.0
1734	2017-09-15	1816	60	3	-82.0	882.0
1735	2017-09-16	1817	61	3	-80.0	882.0
1736	2017-09-17	1818	61	3	-81.0	881.0
1737	2017-09-18	1819	62	3	-82.0	880.0
1738	2017-09-19	1820	62	3	-79.0	881.0
1740	2017-09-20	1821	63	3	-81.0	882.0
1739	2017-09-21	1822	63	3	-78.0	881.0
1743	2017-09-22	1823	64	3	-80.0	879.0
1742	2017-09-23	1824	64	3	-80.0	879.0
1741	2017-09-24	1825	64	3	-80.0	878.0
1744	2017-09-25	1826	65	3	-80.0	878.0
1745	2017-09-26	1827	65	3	-80.0	879.0
1746	2017-09-27	1828	66	3	-80.0	878.0
1749	2017-09-28	1829	66	3	-78.0	877.0
1748	2017-09-29	1830	67	3	-80.0	877.0
1747	2017-09-30	1831	67	3	-80.0	876.0
1750	2017-10-01	1832	68	3	-84.0	875.0
1751	2017-10-02	1833	68	3	-81.0	875.0
1752	2017-10-03	1834	68	3	-80.0	875.0
1753	2017-10-04	1835	69	3	-80.0	873.0
1755	2017-10-05	1836	69	3	-81.0	873.0
1756	2017-10-06	1837	70	3	-81.0	872.0
1754	2017-10-07	1838	70	3	-79.0	872.0
